index,path,size_bytes,sha256,authenticated,legacy_entry_byte_identity
0,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_homecredit_catboost_k100.json,2343,fb12d07f044b43ae22a8f058b503669afadf0bb1b831db18a7a72592b7b2af69,true,true
1,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_homecredit_catboost_k200.json,2346,cef19321d123fb7e29110fbcecddcc7439a046fdee2e9324b720433992a0bd41,true,true
2,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_homecredit_catboost_k300.json,2345,a2d5e311780c61ac1deec2c977e66de7916c7cb9a48a54b32928cd2e4e61cd48,true,true
3,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_homecredit_lr_k100.json,2353,9e8f85924ae2fce5bdb17af20ecad700278518948972bebd5f10f3ae1f98f287,true,true
4,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_homecredit_lr_k200.json,2350,c54573ec0b5cc02f9a2f7f949d7acbbf62fcf351a0f1f462747d890cfaeb5dcb,true,true
5,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_homecredit_lr_k300.json,2360,f66f572ce625bf93fbe31fcc0a04b86710082c542f14f9b2f94afeef26fc0e24,true,true
6,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_lendingclub_v2_catboost_k100.json,2350,a4edd4159873a4557a61a6d3ff6592e4c9e5294c8568b1a779d15d9c6500c971,true,true
7,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_lendingclub_v2_catboost_k200.json,2347,9b456a80f99ace59dc98b654ae78ffad6863884aacbbaa3704a10d7b99090c7b,true,true
8,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_lendingclub_v2_catboost_k300.json,2343,081f9508d401c2596b13b0bd8e953afc1cd31a043f0d446957c5cf74c9c1f7fb,true,true
9,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_lendingclub_v2_lr_k100.json,2353,ea05e08e431747c424907b9491a7f3542e21025267a9ff338912444c09d62e9d,true,true
10,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_lendingclub_v2_lr_k200.json,2354,0c64fa872a6eacc6c2d4626e499282869646c1bb92ec6702b03104cdac5f6389,true,true
11,results/final_experiments/cross_dataset_voting_inference_v1/_cache/bootstrap_lendingclub_v2_lr_k300.json,2351,dafd306076fdfb371c6ffe6613931bdc74f601bc9f551813da1d1bc62d3d435f,true,true
12,results/final_experiments/cross_dataset_voting_inference_v1/alignment_audit.csv,10395,ded8843a67bf5e7cc6bb146e3f64470da32aac4daf121e77d67ef180662bcd51,true,true
13,results/final_experiments/cross_dataset_voting_inference_v1/alignment_audit.json,39512,d22d1c18a676db7586cbfca4b015f1be0ac2794eea10a1eb8a4f61ef80444bab,true,true
14,results/final_experiments/cross_dataset_voting_inference_v1/bootstrap_equivalence_audit.csv,1099,b1159dd3c489d5cfa64778a2c375e43b3554bb5414a14dc3b042829ea1265118,true,true
15,results/final_experiments/cross_dataset_voting_inference_v1/bootstrap_replicate_manifest.json,19293,a16aedd3eb07aeb733886589f1921dc0c47720ded23366074c903003d07f8c6d,true,true
16,results/final_experiments/cross_dataset_voting_inference_v1/claims_and_evidence_seed.csv,17046,b2e88f884b4ed0a51a11cc0ef87ec404b08f7545cd83a8a3b6d597beb9c480f3,true,true
17,results/final_experiments/cross_dataset_voting_inference_v1/cross_dataset_voting_evidence_table.csv,15261,3195c8139a4fedc4d9e19c990c7cc974f47574316a961bf6048a80829359afd0,true,true
18,results/final_experiments/cross_dataset_voting_inference_v1/dev_oot_population_audit.csv,1728,58ba95c2f39992b57225b4bea2e0182ba71ab56c0df74d4cc849e8d68551aaf9,true,true
19,results/final_experiments/cross_dataset_voting_inference_v1/feature_psi_definition_audit.csv,49498,3edd5b6ff26604daa7906077c2b001828176608f56abb020e2b52e6bd40bb7cb,true,true
20,results/final_experiments/cross_dataset_voting_inference_v1/feature_psi_long.csv,198813,52e6b85086ae2bd51f549174232d41a3e8eee01cb880cd516e4c90013ac90f3a,true,true
21,results/final_experiments/cross_dataset_voting_inference_v1/feature_psi_summary.csv,4760,6f1295e302783a209017e08e53a8be97292fe94fb1e990846459cf4024be62ad,true,true
22,results/final_experiments/cross_dataset_voting_inference_v1/figure_captions.json,3262,1185688aa345f96b512d049c1c892a88fd0713dbfada7b03f7881a883794b733,true,true
23,results/final_experiments/cross_dataset_voting_inference_v1/figures/drift_stability_comparison.png,121425,0a71e3ab3e0ff694457fa41179cb6fb05c30e8c45eef6f2b709cf468dac0c973,true,true
24,results/final_experiments/cross_dataset_voting_inference_v1/figures/paired_auc_delta_forest.png,141221,4fae2b1c02d339fb276bbb9b0daf8590a0fe94a3228209488eaebb9067416cf1,true,true
25,results/final_experiments/cross_dataset_voting_inference_v1/figures/runtime_comparison.png,63016,10fc7ea2873fed714235742bf479f169b826c70b0ee6402c9e17edb708b14a56,true,true
26,results/final_experiments/cross_dataset_voting_inference_v1/figures/voting_budget_auc.png,175725,311ae162db54b9990cf31dbf1264cf76f844151ccb20a4321ed4eb959b3bd4ce,true,true
27,results/final_experiments/cross_dataset_voting_inference_v1/fold_selection_frequency.csv,98929,d278f23e24c4139841d1782ec4eb06ba3ee25fcfc3f285bf143568efd0fd6fd8,true,true
28,results/final_experiments/cross_dataset_voting_inference_v1/fold_selection_inventory.csv,10452,9f865f54e95b321384223738103b8b0ecdd53c53c0756d58c6ad2622148ce2b1,true,true
29,results/final_experiments/cross_dataset_voting_inference_v1/holm_adjustment_audit.csv,3997,2364844888be8e741f615addfafad112c3e160b170c92dc4d79b6cae1c2770a6,true,true
30,results/final_experiments/cross_dataset_voting_inference_v1/independent_recalculation_audit.csv,30679,b0a68c4952bc7ebb5c2fe18f91623eb933b3ed1f8f811e309e565917d335e513,true,true
31,results/final_experiments/cross_dataset_voting_inference_v1/input_inventory.csv,21038,63d009ffc1cebc8d465437850e354fa6814c328f75999ec2c2fa0e6184de85fc,true,true
32,results/final_experiments/cross_dataset_voting_inference_v1/leakage_audit.csv,3406,a35756183f62020ec8a33b8cd7e85eb8ade6fb4ccca12f2a61d351545d880884,true,true
33,results/final_experiments/cross_dataset_voting_inference_v1/lift10_audit.csv,12167,aa7420cd6449095c358e61f4b3b48ec344a6f7bb40aaab3f2d2e69b7c061aa22,true,true
34,results/final_experiments/cross_dataset_voting_inference_v1/limitations.md,5369,c19c8a345340097aeed3c6406964bedbcaaca660b53ee6d6913df0847f7329e5,true,true
35,results/final_experiments/cross_dataset_voting_inference_v1/paired_bootstrap_results.csv,8615,6627019e571e4d7877443e03d40b72056cc67d909c4721ce51dc1692ed33bb77,true,true
36,results/final_experiments/cross_dataset_voting_inference_v1/paired_delong_results.csv,5499,6a9a09ccf453509fc359fd08886c0ab8963a04af593e151e85c72b3d4a131a1f,true,true
37,results/final_experiments/cross_dataset_voting_inference_v1/paired_inference_final.csv,13988,13e598878d8849534a6a0ea4a5181d17d1ff08d7a468fe9cb35beee165c8ddaf,true,true
38,results/final_experiments/cross_dataset_voting_inference_v1/predeclared_comparison_family.json,10351,e38df6e42be2fd537ce2f1f15c037cf88d56d092f43d67b732a3b7b7744f8b85,true,true
39,results/final_experiments/cross_dataset_voting_inference_v1/prediction_inventory.csv,16089,8d1168e26b09db1827b5b717cfb1ceca73b4c00c54259af56298aac9cc2e2efc,true,true
40,results/final_experiments/cross_dataset_voting_inference_v1/prompt_05_completion_authentication.json,1829,8285737ef90c1286f13643ab03bdefb9766d1688200e4bc1a3604f5f6c09c0e4,true,true
