path,size_bytes,sha256
results/README.md,1828,55f059c6dd175361a75c3987c4b6bbe55e90a9ff65103259577e35a8b54a78df
results/run_index.csv,9277,eb6702c01fb4fce799301970bc01ccb89e72b8e24482e92f9606eff38545cec7
results/run_index.csv.lock,1,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/checkpoint.json,55739,cb28ff95481c5ed983c9318a3efafa5f69cb2d5e1d3456283e98cca9c618bb94
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/config.json,1734,790afc83b30ad1cfd2b7d351060f79091fdebd41b8d932afd3b44f776e31c800
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/data_access_dev.json,9866,6bc03e5485eccb76e15d3d57d7bf558073fdd9deec487afae9062d8ba74366d9
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/features/feature_stability_metrics.csv,126,eaebe157c444f6bf196e5e15e52e1781f4168b522ca7f74f33d3af4650652b76
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/features/fold_selected_features.csv,2612,7140c03e9ce233d1d719cc5fa4d03c3f877214eb1dca42c93537dae6d3591309
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_1/aggregate_ranking.csv,35355,21af7fc4d0a545031ad4b0bafa32427e96ca1d1cf3d48f080e319f3ad906d084
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_1/candidate_features.csv,489,aa76938316cc62844d64cdbf1a80dfdc48edb996996494543fab85f60b583ab9
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_1/effective_model_config.json,1258,dd24f560824b4e7a61b926b8aa9bba257b319537d657448933ffe6d17d567eb5
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_1/prediction_metadata.json,1958,b52dcd2631087b4fe473f9bd77b58d1a2bc4b500e21cfb9d00b7a15a2a21ecfd
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_1/predictions_dev.csv,3087075,3565930ec5a880cb4bee283ab4b5e2c3c0c984ec438b8ce1f7531c43878cb6c3
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_1/rfe_selection_trace.csv,598,0f05146f65d2988e1ef019c4fdb64c5aab03f039f5a6d25b1bbdfbf87bc6cbf9
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_1/selected_features.csv,537,f0f74c16ffd12df7c9856a3de20e364cb79f76c59cdd76bee98d489998ebcea0
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_1/voter_rankings.csv,71661,33e5d6679229cd8ed8efb65501ba5c734b40e0de63a27a3a8aa51e8897c683b0
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_2/aggregate_ranking.csv,35539,4d6e2f088eb7974613109726cea485aa0a95eea8f9997b3f329e5afaade75c3c
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_2/candidate_features.csv,509,1eb41a2d9729b8ffddcc000a5b5ddef07c7686afcb6943dc019b2bee18a0bb48
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_2/effective_model_config.json,1258,dd24f560824b4e7a61b926b8aa9bba257b319537d657448933ffe6d17d567eb5
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_2/prediction_metadata.json,1958,cb6241f2b964746e817c1c17f5ee29598a0006d32f8c698da5c58732802ffcc3
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_2/predictions_dev.csv,3071599,006fa2175f2b06aab43107a2b012b8cd23935c02067512bb70b4f87ecd9fccf6
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_2/rfe_selection_trace.csv,618,b875e39af0c8892a0310503c5b0368cb0c3641e0b70f3ffafc97849eaee78418
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_2/selected_features.csv,557,f82eee30a61adf4390add1d9ab3b5a026d2f03a4323d4171b070e63e8100a529
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_2/voter_rankings.csv,71845,ad0e9b1ffed4cc0d1fac0aaf0b61abfc36f8d844e4ee64691e52348217082e01
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_3/aggregate_ranking.csv,35554,1ef7fc55f028e2c764bb2827f4150d6e846079a440f92d8d48c547b5322b80c9
results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_3/candidate_features.csv,497,2475fccd2b37ae7672a52c48608dd89cee7f2805eac7771b8dd1ed8a3e48e741
