"relative_path","file_type","size_bytes","modification_time_utc","preservation_method","sha256","scientific_role"
"_llm_rankings_cache/final_dev_final_dev_7c550aa3f067d40d84d69233451fa689df4eeb765d91e1e64cb3871058dd5a1e.json","json","52793","2026-04-29T19:15:24.7476742Z","sha256","37303d833c762465f1f9b4969b54a31ad0bdc004eaacef372b30f1b33f5e9a7d","ranking"
"_llm_rankings_cache/fold_fold_1_e00e1381c1c42c67ddaae8904caf3fc368672edae952ef9aa088476c370158c0.json","json","69943","2026-04-29T19:04:08.3359110Z","sha256","bad123bcf31458fa64ad8e392f091064759dec5b6cb11c6530e7754cf3260f09","ranking"
"_llm_rankings_cache/fold_fold_2_f4a4f230f59c00c868967a5e39f0d68542917cbf2c00abc9e51ac9f389362f80.json","json","60771","2026-04-29T19:07:32.8633335Z","sha256","5ca57d7b039f5acf088cdaf97273fdaa3f7de8ae1c8b95a4c3951eea3fcb01e3","ranking"
"_llm_rankings_cache/fold_fold_3_d520b8c3b3c082e04c785eb14c44d2129dbdfdc322507385fe96b8d35fb0bf78.json","json","61492","2026-04-29T19:09:05.3817432Z","sha256","beb54c5cb434c413c764c5c42ecc23a1f949056ea758936dd10b878ef82e16ef","ranking"
"_llm_rankings_cache/fold_fold_4_e66d9b4a2d4b6439ed03ee3bfe36c2878b60f8b5b29e942de3edc5cb90041bce.json","json","54885","2026-04-29T19:10:26.8055074Z","sha256","ed76522dc00eb3d488565988dcfc212f653289c555cbca40e9cbe36d88f9e156","ranking"
"_llm_rankings_cache/fold_fold_5_4a409e5d88b657b73bdb6b106e8cd77908ab6c0d66657c9a5dc41280e82fda63.json","json","107314","2026-04-29T19:13:42.0234416Z","sha256","5d7a178eca7bf4815578392b5674ea953d429c5c4117396798208ba1a816dc48","ranking"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/_SUCCESS","none","25","2026-04-29T21:09:22.7800353Z","sha256","a2d15d0a9e7fd6ba3b06ecdcdbcb2ca40e1bd42ebf0f6777a9f611f9851d147c","other_scientific_artifact"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/data_split_manifest.json","json","705","2026-04-29T21:06:28.7446214Z","sha256","55c6614a990d3cbbc0430fbd78184857943f7fb3202954b2ad17365b0ae3be91","manifest"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/features/feature_stability_metrics.csv","csv","563","2026-04-29T21:06:28.5039489Z","sha256","cf7887cc43a7a5076a18e0a5e0698fa02c98668dedea885fa85402f2fda0fcdd","metrics_evaluation"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/features/final_selected_features.csv","csv","4001","2026-04-29T21:08:09.8008164Z","sha256","1b16313241bef6deb89173fb47e59b7bdab414972c3f338ed12e0bbea3d1d689","selected_features"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/features/fold_selected_features.csv","csv","18491","2026-04-29T21:06:28.4510209Z","sha256","f3230a308ccdd5fe431eaa1a8185fd51dae3af2de0d5bcc442b3b52e3206d374","selected_features"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/features/llm_hybrid_trace.csv","csv","35672","2026-04-29T21:08:09.8038170Z","sha256","839ca77fcef20c4c1f92f43967007b4f89784387cf2ef4c33f5deee16b1be79f","other_scientific_artifact"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/features/llm_rankings_summary.csv","csv","270006","2026-04-29T21:06:39.1515613Z","sha256","4435852e578e8556596c827fcd79dfda4c00965d550049e60688fd65e2e94ebe","ranking"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/features/selection_frequency.csv","csv","3164","2026-04-29T21:06:28.4742530Z","sha256","a8817c7145eae6a9ec24eb83b7932ede6f18c04f510b4b73d21103c1feb0903e","other_scientific_artifact"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/features/semantic_group_stability.csv","csv","387","2026-04-29T21:06:28.4772333Z","sha256","5d9984f25994fb9f9b802fd41517c38a2b7bf0257ed4a318b6b332a1b659244b","other_scientific_artifact"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/leakage_report.json","json","428","2026-04-29T21:06:28.7436226Z","sha256","95e87975747848050e8d948d998908c57760b65f4c63a2dd6f689517721a770d","report_documentation"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/models/final_model.model","model","7515440","2026-04-29T21:09:21.5332395Z","sha256","b6f654a3afc3bc10b16a49ff900e7fea0092f436793c776b46dbb15ad618a883","model_checkpoint"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/models/final_model_metadata.json","json","4758","2026-04-29T21:09:21.5441317Z","sha256","6616aa14b0997e8ce38da141cee43423880fa2c421e0e17ca2678972432a4f5e","model_checkpoint"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/models/final_preprocessor.pkl","pkl","19881","2026-04-29T21:09:21.5441317Z","sha256","7c345576ae18d1a3726632f2989235e49c2ee7b09ac1e93234e586b46b553d6f","model_checkpoint"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/results/credit_risk_utility.csv","csv","145","2026-04-29T21:09:22.5975378Z","sha256","2102716f9ef43a6749998641110166d7d708411370a9f06488526e820da2fc3f","other_scientific_artifact"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/results/cv_results.csv","csv","4607","2026-04-29T21:06:28.4500219Z","sha256","835365d43a1233f668c7ffe8bdbe152d0e5cd4e0c5ebc8776c9ebd6ce3fd0914","other_scientific_artifact"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/results/experiment_summary.csv","csv","2804","2026-04-29T21:09:22.7202278Z","sha256","f65fef7c362abf69badd8eb2b424e360c0a8d6ab0d3748279a0268a3ec35d043","other_scientific_artifact"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/results/model_score_psi.csv","csv","40","2026-04-29T21:09:22.5975378Z","sha256","a8d8fd76f82a284170199a8121e7abbcc1bbce89b67fa485668938f82c8f3411","model_checkpoint"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/results/oot_predictions.csv","csv","2933646","2026-04-29T21:09:22.7082288Z","sha256","ad69b4c5b56abf41676f56722aa0156cd487734b218c900cc8ea9d4bfecf2de9","prediction"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/results/oot_test_results.csv","csv","1098","2026-04-29T21:09:22.7092296Z","sha256","85abf63c3cd0a64dec82641941ac8c565f430715c3f4516c5d98f95c796e818f","other_scientific_artifact"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/results/runtime_summary.csv","csv","654","2026-04-29T21:09:22.7192288Z","sha256","e25c0b98bc8a4ae76506bf4ffb9c94da6df7b038759d1440eb1105e0bbda86e8","other_scientific_artifact"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/results/selected_feature_psi.csv","csv","1957","2026-04-29T21:09:22.5963456Z","sha256","fd9ec1adc44e48d598fb368e59e12df2b43bc2894516db8888142b47d9b210f5","selected_features"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/run.log","log","8985","2026-04-29T21:09:22.7202278Z","sha256","1a86c4e8b0e0c7708c4778b5ac71f518822b57fa4a7a3cd5c7bfd760c032d4cf","log"
"catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_7148fd0867c5/run_manifest.json","json","9269","2026-04-29T21:09:22.7800353Z","sha256","6592ada09505ebfd9b7b48552a80c0975f1c81c27cc12ebecc6182e63f92ff0e","manifest"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/_SUCCESS","none","25","2026-04-29T20:59:08.3068350Z","sha256","7f384623c2e72d0bdd84e66095fc22f45dcec318d8b3b7475d44cf29401c7357","other_scientific_artifact"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/data_split_manifest.json","json","705","2026-04-29T20:57:05.8755824Z","sha256","55c6614a990d3cbbc0430fbd78184857943f7fb3202954b2ad17365b0ae3be91","manifest"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/features/feature_stability_metrics.csv","csv","574","2026-04-29T20:57:05.6294292Z","sha256","bf39c5ec5ffabe756e048387b1632de29e9d3205e87691746264c5daf0264ad1","metrics_evaluation"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/features/final_selected_features.csv","csv","4788","2026-04-29T20:57:50.3690071Z","sha256","f7459100b191d3df073e8b06852db59a9aef11781b0101acf74e74f802f6c916","selected_features"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/features/fold_selected_features.csv","csv","22333","2026-04-29T20:57:05.5756156Z","sha256","14894545a0b1b265896a6b3aefbe93ad7f35e4f3d6f14e75b51457527a750f74","selected_features"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/features/llm_hybrid_trace.csv","csv","34482","2026-04-29T20:57:50.3720226Z","sha256","0532e44d8e30c33cba12f699017a73b532fafadda91f3e07a61fc984bf26ef3b","other_scientific_artifact"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/features/llm_rankings_summary.csv","csv","270006","2026-04-29T20:57:16.2987701Z","sha256","cb5e703a44b843cb2658ef50ebbdaca4fed66cc5f04fd25983bf4030818310df","ranking"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/features/selection_frequency.csv","csv","5434","2026-04-29T20:57:05.6013642Z","sha256","c5252fccdf27343e8bb150d0d94c67a7a3fed56bd50c153a86d5bf5cc51da0c4","other_scientific_artifact"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/features/semantic_group_stability.csv","csv","387","2026-04-29T20:57:05.6043807Z","sha256","fbb8ba2fc893fdfc3a13e978c8a98ceaa6985e9db34cd23cf2b3c3074ae0f24c","other_scientific_artifact"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/leakage_report.json","json","428","2026-04-29T20:57:05.8735644Z","sha256","95e87975747848050e8d948d998908c57760b65f4c63a2dd6f689517721a770d","report_documentation"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/models/final_model.model","model","7587432","2026-04-29T20:59:07.0512831Z","sha256","6c31ecbbe0af63750a7dd3285d6f83233fcee9e1f8a6523ac729bb7ae7c0f935","model_checkpoint"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/models/final_model_metadata.json","json","4788","2026-04-29T20:59:07.0612835Z","sha256","7cd52837cb6f03ebb83a7b2c2aa12a5c3c56ce7825d737a0b54e665536774ae6","model_checkpoint"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/models/final_preprocessor.pkl","pkl","19881","2026-04-29T20:59:07.0612835Z","sha256","7c345576ae18d1a3726632f2989235e49c2ee7b09ac1e93234e586b46b553d6f","model_checkpoint"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/results/credit_risk_utility.csv","csv","147","2026-04-29T20:59:08.1199527Z","sha256","6d10f35a7969c8ecec6fea2d55d457b2ecc48e5d49df6f309e89df3d3eb1ed4b","other_scientific_artifact"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/results/cv_results.csv","csv","4595","2026-04-29T20:57:05.5745989Z","sha256","e1c86e29f1a936fdecddedbb0edd3770b8ba30b97da3e8acd42431b0fbf79176","other_scientific_artifact"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/results/experiment_summary.csv","csv","2814","2026-04-29T20:59:08.2466307Z","sha256","b4b3d982377e3535bd9ad2f39e69fa890af53f82df4b5f0a9df425e0f260baf2","other_scientific_artifact"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/results/model_score_psi.csv","csv","39","2026-04-29T20:59:08.1199527Z","sha256","a686e5f69040e87e26e579f60c86de4bc36153a078d8e91ae00f52a4450ba88f","model_checkpoint"
"catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_bbbe1ad711da/results/oot_predictions.csv","csv","2933949","2026-04-29T20:59:08.2336315Z","sha256","34898817e887890f2575c8acaa57608676ca51bffe75f4a3b0c15d0bd95d75e2","prediction"
