run_id,dataset,model,selector,experiment_type,feature_budget,selected_feature_count,selected_feature_path,selected_feature_hash,depends_on_clip,pairing_policy_version,reuse_status,reason,configuration_hash,data_manifest_hash,source_identity_manifest_hash,source_training_dataset,external_dataset
catboost_hybrid_llm_then_boruta_159b47a7bfa0,homecredit,catboost,llm_then_boruta,hybrid,40.0,40,results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/features/final_selected_features.csv,0d82bf2e9b5a6e01e3eda9bc93cbdf62940fddeff2c556b49fef8c5ced5c60a6,False,not_applicable_non_clip,reusable_existing,Existing final DEV-selected feature set from a completed non-CLIP run.,,,,,
catboost_hybrid_llm_then_mrmr_87fbcccf4952,homecredit,catboost,llm_then_mrmr,hybrid,40.0,40,results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/features/final_selected_features.csv,a742020eb20f51fdc7d6b5a0b685b245bd1463513529f8507db7f296ec0ca3df,False,not_applicable_non_clip,reusable_existing,Existing final DEV-selected feature set from a completed non-CLIP run.,,,,,
catboost_hybrid_stable_core_llm_fill_8993eae5a4f7,homecredit,catboost,stable_core_llm_fill,hybrid,40.0,40,results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/features/final_selected_features.csv,3734216744295bb3a2139f58d8cc69145dcc6d3e5a6945bf2f91d608176a4a8b,False,not_applicable_non_clip,reusable_existing,Existing final DEV-selected feature set from a completed non-CLIP run.,,,,,
catboost_llm_llm_d54c966a1d6e,homecredit,catboost,llm,llm,40.0,40,results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/features/final_selected_features.csv,cb21e4e9e9c0268d1b174a4a13824f4115f43d568e24af0f362e30898b75cb52,False,not_applicable_non_clip,reusable_existing,Existing final DEV-selected feature set from a completed non-CLIP run.,,,,,
catboost_statistical_boruta_486630bccdb9,homecredit,catboost,boruta,statistical,40.0,40,results/homecredit/catboost/statistical/catboost_statistical_boruta_486630bccdb9/features/final_selected_features.csv,a83e3a9323c37f63158a8eeceb62cacbe62e7bd4f1bb5e65a574b4ed177c816f,False,not_applicable_non_clip,reusable_existing,Existing final DEV-selected feature set from a completed non-CLIP run.,,,,,
catboost_statistical_domain_rule_baseline_b0a57bf51d1f,homecredit,catboost,domain_rule_baseline,statistical,40.0,40,results/homecredit/catboost/statistical/catboost_statistical_domain_rule_baseline_b0a57bf51d1f/features/final_selected_features.csv,8b1b60ba8a46fd30d8d1dd13c4dbfd2df6e14343e9dadee545afd2fd3753515d,False,not_applicable_non_clip,reusable_existing,Existing final DEV-selected feature set from a completed non-CLIP run.,,,,,
catboost_statistical_mrmr_3858b721e537,homecredit,catboost,mrmr,statistical,40.0,40,results/homecredit/catboost/statistical/catboost_statistical_mrmr_3858b721e537/features/final_selected_features.csv,93e484d2a6f3b62aa3f59b4f782f39053bae498f8de23602f1ed7a98f2de5bff,False,not_applicable_non_clip,reusable_existing,Existing final DEV-selected feature set from a completed non-CLIP run.,,,,,
catboost_statistical_pca_26fcebfff558,homecredit,catboost,pca,statistical,40.0,40,results/homecredit/catboost/statistical/catboost_statistical_pca_26fcebfff558/features/final_selected_features.csv,4de12dd5017a90518d696f6df723bc9d66f058ef89735010b80863df75ffdc1a,False,not_applicable_non_clip,reusable_existing,Existing final DEV-selected feature set from a completed non-CLIP run.,,,,,
lr_hybrid_llm_then_boruta_9ceedb78b89f,homecredit,lr,llm_then_boruta,hybrid,20.0,20,results/homecredit/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_9ceedb78b89f/features/final_selected_features.csv,8f944c233f34c19b9071bfb6a5cf32aedb6cac449075a82f3d8cf6d32e7a1103,False,not_applicable_non_clip,reusable_existing,Existing final DEV-selected feature set from a completed non-CLIP run.,,,,,
lr_hybrid_llm_then_mrmr_f69e1a0cffc2,homecredit,lr,llm_then_mrmr,hybrid,20.0,20,results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/features/final_selected_features.csv,f61e36a9f32e03041c63381795431187b8f15dc699a3b1c00008f1d0b4ac3e25,False,not_applicable_non_clip,reusable_existing,Existing final DEV-selected feature set from a completed non-CLIP run.,,,,,
