record_type,scenario,dataset,model,pipeline,run_id,logical_requests,canonical_physical_calls,source_generation_calls,total_physical_calls,local_reuse,calls_avoided,input_tokens,output_tokens,total_tokens,cost_lower_usd,cost_upper_usd,selector_seconds,pipeline_seconds,latency_lower_seconds,latency_upper_seconds,status,source_file,notes,evidence_cohort,source_sha256
usage_taxonomy,observed actual,,,,,72,24,6,30,48,42,806757,56495,863252,0.1710677,0.4130948,,,,,authenticated observed,results/finalized_research/pending_analyses/llm_cost_scalability/llm_cost_manifest.json,72 canonical logical requests = 24 canonical physical calls + 48 locally reused requests; 30 total physical calls = 24 canonical physical calls + 6 Home Credit source-generation calls; 42 calls avoided = 72 potential independent canonical calls - 30 actual physical calls.,canonical_llm_matrix_v2,fed536f44ed42d816abec1da4cb4d5a67acf8dfa1a400f6b0e34acb55e4f40f5
counterfactual,no reuse,,,,,72,72,not separately additive,72,0,0,2570700,229897,2800597,0.6249052,1.3961152,,,,,counterfactual,results/finalized_research/pending_analyses/llm_cost_scalability/llm_cost_manifest.json,No-reuse values are counterfactual.,canonical_llm_matrix_v2,fed536f44ed42d816abec1da4cb4d5a67acf8dfa1a400f6b0e34acb55e4f40f5
runtime,observed completed run,Home Credit,Logistic Regression,mRMR,lr_statistical_mrmr_53a793cb32fe,0,,,0,0,,,,,,,698.762846946716,728.35892033577,,,exact runtime-summary components,results/homecredit/lr/statistical/lr_statistical_mrmr_53a793cb32fe/results/runtime_summary.csv;results/homecredit/lr/statistical/lr_statistical_mrmr_53a793cb32fe/run.log,Provider latency is zero for local cache hits. Combined feature-selection runtime is not compared directly with provider latency without labels.,canonical_llm_matrix_v2,fed536f44ed42d816abec1da4cb4d5a67acf8dfa1a400f6b0e34acb55e4f40f5
runtime,observed completed run,Home Credit,Logistic Regression,pure LLM,lr_llm_llm_66fabfd650a1,6,,,0,6,,,,,,,39.5471591949463,47.6981401443482,,,exact totals; API latency from one-second-resolution run log,results/homecredit/lr/llm/lr_llm_llm_66fabfd650a1/results/runtime_summary.csv;results/homecredit/lr/llm/lr_llm_llm_66fabfd650a1/run.log,Provider latency is zero for local cache hits. Combined feature-selection runtime is not compared directly with provider latency without labels.,canonical_llm_matrix_v2,fed536f44ed42d816abec1da4cb4d5a67acf8dfa1a400f6b0e34acb55e4f40f5
runtime,observed completed run,Home Credit,Logistic Regression,LLM-then-mRMR,lr_hybrid_llm_then_mrmr_f69e1a0cffc2,6,,,0,6,,,,,,,80.5677175521851,85.9959678649902,,,exact totals; statistical component reconstructed from one-second mRMR log boundaries; LLM local component is reconciled residual,results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/results/runtime_summary.csv;results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/run.log,Provider latency is zero for local cache hits. Combined feature-selection runtime is not compared directly with provider latency without labels.,canonical_llm_matrix_v2,fed536f44ed42d816abec1da4cb4d5a67acf8dfa1a400f6b0e34acb55e4f40f5
runtime,observed completed run,Home Credit,Logistic Regression,Stable-core + LLM-fill,lr_hybrid_stable_core_llm_fill_1ddd0142e614,6,,,0,6,,,,,,,1459.71463823318,1475.43821287155,,,exact totals; statistical component reconstructed from one-second mRMR log boundaries; LLM local component is reconciled residual,results/homecredit/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_1ddd0142e614/results/runtime_summary.csv;results/homecredit/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_1ddd0142e614/run.log,Provider latency is zero for local cache hits. Combined feature-selection runtime is not compared directly with provider latency without labels.,canonical_llm_matrix_v2,fed536f44ed42d816abec1da4cb4d5a67acf8dfa1a400f6b0e34acb55e4f40f5
runtime,observed completed run,Home Credit,CatBoost,mRMR,catboost_statistical_mrmr_3858b721e537,0,,,0,0,,,,,,,680.031504631042,960.189537286758,,,exact runtime-summary components,results/homecredit/catboost/statistical/catboost_statistical_mrmr_3858b721e537/results/runtime_summary.csv;results/homecredit/catboost/statistical/catboost_statistical_mrmr_3858b721e537/run.log,Provider latency is zero for local cache hits. Combined feature-selection runtime is not compared directly with provider latency without labels.,canonical_llm_matrix_v2,fed536f44ed42d816abec1da4cb4d5a67acf8dfa1a400f6b0e34acb55e4f40f5
runtime,observed completed run,Home Credit,CatBoost,pure LLM,catboost_llm_llm_d54c966a1d6e,6,,,0,6,,,,,,,45.0675308704376,520.937840223312,,,exact totals; API latency from one-second-resolution run log,results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/results/runtime_summary.csv;results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/run.log,Provider latency is zero for local cache hits. Combined feature-selection runtime is not compared directly with provider latency without labels.,canonical_llm_matrix_v2,fed536f44ed42d816abec1da4cb4d5a67acf8dfa1a400f6b0e34acb55e4f40f5
runtime,observed completed run,Home Credit,CatBoost,LLM-then-mRMR,catboost_hybrid_llm_then_mrmr_87fbcccf4952,6,,,0,6,,,,,,,222.67898106575,725.916565656662,,,exact totals; statistical component reconstructed from one-second mRMR log boundaries; LLM local component is reconciled residual,results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/results/runtime_summary.csv;results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/run.log,Provider latency is zero for local cache hits. Combined feature-selection runtime is not compared directly with provider latency without labels.,canonical_llm_matrix_v2,fed536f44ed42d816abec1da4cb4d5a67acf8dfa1a400f6b0e34acb55e4f40f5
runtime,observed completed run,Home Credit,CatBoost,Stable-core + LLM-fill,catboost_hybrid_stable_core_llm_fill_8993eae5a4f7,6,,,0,6,,,,,,,3637.33790898323,4111.48141026497,,,exact totals; statistical component reconstructed from one-second mRMR log boundaries; LLM local component is reconciled residual,results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/results/runtime_summary.csv;results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/run.log,Provider latency is zero for local cache hits. Combined feature-selection runtime is not compared directly with provider latency without labels.,canonical_llm_matrix_v2,fed536f44ed42d816abec1da4cb4d5a67acf8dfa1a400f6b0e34acb55e4f40f5
