feature_id,feature_name,semantic_group,umap_1,umap_2
003a632c6e79c3baedbd70bc63a40a6adef91f67ca37664f5cda55154720ec9d,POS_TOTAL_INSTALMENT_PROG_MEAN,other,-2.6460242,-3.5802493
00b98b466217a83fb194c39a1888e1fb9021d06c893e1c8c53ade718ca19ce33,PREV_DAYS_TERMINATION_VAR,previous_application_behavior,-0.7953496,-3.1896362
00dd7d3974a0e6e2aaeb746855f022aa631440e3e7469837ab7174cbc6cce78f,CC_AMT_RECEIVABLE_PRINCIPAL_MIN,credit_card_utilization,2.1799045,-4.770424
0114a78808c91bfd7fb6300407b7572a9f5f9555ed6d8802bd4c70fdb72b2784,BURO_DAYS_CREDIT_UPDATE_MEAN,bureau_credit_history,-6.5290294,-3.4246955
0161bcced4f0b91799586a010338f8c7f0726f03ab35d492eaa4e1b7924e2f4b,ENTRANCES_AVG,application_amounts,1.4439167,4.9215646
038c5c1209c5ea7f41535291e7afda44c3bf058670cea0fc69ec8d83594a9947,INSTAL_DAYS_INSTALMENT_SUM,installment_repayment_behavior,-4.9450765,-4.4295697
049727f55aa03c7fee634db797171169ed9f76ec44c0883f11f316c537039f62,HOUSETYPE_MODE,application_amounts,1.0490149,6.4776545
04bf00e8f072e2aded064e236700a063b2a0cb3a9564f0dc12418be77b86a8f4,FLAG_WORK_PHONE,other,18.058832,2.4707098
0545e6ff37a9cdbc53bd1badb80c9163defdc8f5e1d01058d39d571d78d79755,CC_AMT_RECEIVABLE_PRINCIPAL_VAR,credit_card_utilization,3.5132687,-4.6615076
06442f97ce20839507f15087b289dc673e3a8a24d29d8c7a967f973bc6ffb84e,FLAG_EMP_PHONE,other,18.11967,2.4165027
06598ce5eaa9d13101ad080b3e172f3fda7eadb077b4fd35f8f2568ac829ba46,FLAG_DOCUMENT_18,other,19.026102,1.4610987
06d838302d34c295e9c553fe48eb95561db04f1425823e0eb9b731dfec4a940d,PREV_AMT_GOODS_PRICE_MEAN,previous_application_behavior,-0.28148603,-2.0620444
07213c935c491b2ab3e4a5951b4baac331c68d1fb5e37f1973d8083a8cc2410c,FLAG_DOCUMENT_8,other,18.869099,1.9448622
077284452310025702de72d73cffeccabb29ba4a546ec64b696afc79d93e816c,CODE_GENDER,application_amounts,1.0517282,7.054735
0819e4dcc130f2830b0e2c60f9451ae6659571abea9aa08d35929a021b39830d,HOUR_APPR_PROCESS_START,demographic_time_variables,2.0312672,4.063122
